epoch,binary_accuracy,f1_score,loss,precision,recall,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7711581587791443,"""[0.7884279]""",0.5121186375617981,0.7336654663085938,0.8520249128341675,0.8708563446998596,"""[0.88186985]""",0.3475262522697449,0.8419783115386963,0.9257294535636902
1,0.8605790734291077,"""[0.86453146]""",0.35631224513053894,0.8414068818092346,0.8889630436897278,0.8832873106002808,"""[0.89256203]""",0.28680193424224854,0.8571428656578064,0.931034505367279
2,0.8785077929496765,"""[0.88009673]""",0.32003918290138245,0.8694896697998047,0.8909657597541809,0.8888121843338013,"""[0.8977778]""",0.26485857367515564,0.8611449599266052,0.9376657605171204
3,0.8858574628829956,"""[0.88744926]""",0.2992754280567169,0.8760026097297668,0.8991989493370056,0.8964088559150696,"""[0.90482235]""",0.25118085741996765,0.8673965930938721,0.9456233382225037
4,0.8909799456596375,"""[0.8928532]""",0.2872573137283325,0.8785268068313599,0.9076546430587769,0.9095304012298584,"""[0.91607946]""",0.24016577005386353,0.8859975337982178,0.9482758641242981
5,0.8971046805381775,"""[0.8980583]""",0.27547958493232727,0.8905907869338989,0.9056519865989685,0.9171270728111267,"""[0.9224806]""",0.23311997950077057,0.8992443084716797,0.9469496011734009
6,0.9013363122940063,"""[0.9022722]""",0.2676803767681122,0.8945756554603577,0.910102367401123,0.9136740565299988,"""[0.9196142]""",0.23253244161605835,0.8926342129707336,0.9482758641242981
7,0.9041202664375305,"""[0.9048514]""",0.2625550925731659,0.898792564868927,0.910992443561554,0.9178176522254944,"""[0.9231762]""",0.2283129245042801,0.8993710875511169,0.9482758641242981
8,0.9076837301254272,"""[0.90848875]""",0.25580063462257385,0.9014238715171814,0.915665328502655,0.919889509677887,"""[0.92467535]""",0.22520238161087036,0.9058524370193481,0.9442970752716064
9,0.9090200662612915,"""[0.9095338]""",0.2507694363594055,0.9052237272262573,0.9138851761817932,0.9226519465446472,"""[0.9274611]""",0.2238946110010147,0.9063290953636169,0.9496021270751953
10,0.9126948714256287,"""[0.913082]""",0.24727533757686615,0.9098541736602783,0.9163329005241394,0.9129834175109863,"""[0.9191271]""",0.2246973067522049,0.8905472755432129,0.9496021270751953
11,0.9118040204048157,"""[0.91229236]""",0.24321210384368896,0.9080687761306763,0.9165554046630859,0.9178176522254944,"""[0.92327535]""",0.2232304811477661,0.8983688950538635,0.9496021270751953
12,0.9146993160247803,"""[0.91537786]""",0.2416800856590271,0.9089512825012207,0.9218958616256714,0.916436493396759,"""[0.9220863]""",0.22212453186511993,0.8961201310157776,0.9496021270751953
13,0.9188196063041687,"""[0.9195631]""",0.2370392382144928,0.9120157361030579,0.9272363185882568,0.9212707281112671,"""[0.9260701]""",0.21655505895614624,0.9060913920402527,0.9469496011734009
14,0.9179287552833557,"""[0.91804737]""",0.23386776447296143,0.9175372123718262,0.9185580611228943,0.9178176522254944,"""[0.9231762]""",0.21906599402427673,0.8993710875511169,0.9482758641242981
15,0.917371928691864,"""[0.9180291]""",0.23189030587673187,0.9115840196609497,0.9245660901069641,0.9191988706588745,"""[0.9243697]""",0.21559777855873108,0.9016393423080444,0.9482758641242981
16,0.9190422892570496,"""[0.9193208]""",0.22848063707351685,0.9169803261756897,0.9216733574867249,0.919889509677887,"""[0.9250646]""",0.21684975922107697,0.9017632007598877,0.9496021270751953
17,0.9226058125495911,"""[0.9228035]""",0.22571706771850586,0.9212685823440552,0.9243435859680176,0.919889509677887,"""[0.9250646]""",0.21869096159934998,0.9017632007598877,0.9496021270751953
18,0.9230512380599976,"""[0.92338395]""",0.2239711582660675,0.9202209711074829,0.9265687465667725,0.9205800890922546,"""[0.9258543]""",0.21659494936466217,0.9008783102035522,0.9522546529769897
19,0.9229398369789124,"""[0.9233836]""",0.22313900291919708,0.9189069867134094,0.9279038906097412,0.9205800890922546,"""[0.92527616]""",0.21256625652313232,0.9070063829421997,0.9442970752716064
20,0.9198217988014221,"""[0.9200177]""",0.2233273983001709,0.918589174747467,0.9214507937431335,0.9178176522254944,"""[0.9231762]""",0.2151954472064972,0.8993710875511169,0.9482758641242981
21,0.9251670241355896,"""[0.92541623]""",0.21885725855827332,0.9231621026992798,0.9276813268661499,0.9191988706588745,"""[0.9242719]""",0.2158120572566986,0.9026548862457275,0.9469496011734009
22,0.9232739210128784,"""[0.92338485]""",0.21992073953151703,0.9228717684745789,0.9238985180854797,0.9185082912445068,"""[0.9237726]""",0.21514271199703217,0.9005037546157837,0.9482758641242981
23,0.9258351922035217,"""[0.92595065]""",0.21736299991607666,0.9253333210945129,0.9265687465667725,0.9212707281112671,"""[0.9260701]""",0.21258224546909332,0.9060913920402527,0.9469496011734009
24,0.9232739210128784,"""[0.9236904]""",0.2148028165102005,0.9195148944854736,0.9279038906097412,0.9219613075256348,"""[0.92676604]""",0.21492351591587067,0.9062104225158691,0.9482758641242981
25,0.9261692762374878,"""[0.9261939]""",0.21275995671749115,0.9267097115516663,0.9256786704063416,0.9185082912445068,"""[0.923871]""",0.21919839084148407,0.8994975090026855,0.9496021270751953
26,0.9278396368026733,"""[0.9281755]""",0.21267835795879364,0.9246907830238342,0.9316866993904114,0.9219613075256348,"""[0.92686087]""",0.21611711382865906,0.9051833152770996,0.9496021270751953
27,0.9261692762374878,"""[0.9266024]""",0.2120945304632187,0.9220092296600342,0.9312416315078735,0.9212707281112671,"""[0.925974]""",0.21431680023670197,0.9071246981620789,0.9456233382225037
28,0.9266147017478943,"""[0.92675334]""",0.21173134446144104,0.9258272051811218,0.9276813268661499,0.9205800890922546,"""[0.92537314]""",0.21425235271453857,0.9059720635414124,0.9456233382225037
29,0.9239420890808105,"""[0.92415315]""",0.21152949333190918,0.9224118590354919,0.9259011745452881,0.9212707281112671,"""[0.92616576]""",0.2137952595949173,0.905063271522522,0.9482758641242981
