epoch,binary_accuracy,f1_score,loss,precision,recall,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.49977728724479675,"""[0.4966383]""",13.317817687988281,0.5002257227897644,0.49310192465782166,0.5207182168960571,"""[0.684832]""",0.6927185654640198,0.5207182168960571,1.0
1,0.5044543147087097,"""[0.5894834]""",0.6943748593330383,0.5034667253494263,0.7109479308128357,0.5207182168960571,"""[0.684832]""",0.6928460597991943,0.5207182168960571,1.0
2,0.4887527823448181,"""[0.56594497]""",0.6941483020782471,0.4920269548892975,0.6659991145133972,0.5207182168960571,"""[0.684832]""",0.6930844783782959,0.5207182168960571,1.0
3,0.4969933331012726,"""[0.5722943]""",0.6938955783843994,0.4981045126914978,0.6724521517753601,0.5207182168960571,"""[0.684832]""",0.6930358409881592,0.5207182168960571,1.0
4,0.4905345141887665,"""[0.60726243]""",0.6934074759483337,0.49433961510658264,0.787049412727356,0.4792817533016205,"""[0.0]""",0.6931531429290771,0.0,0.0
5,0.48596882820129395,"""[0.4063786]""",0.6932191848754883,0.4814137816429138,0.351579874753952,0.4792817533016205,"""[0.0]""",0.6932327747344971,0.0,0.0
6,0.48307350277900696,"""[0.49532506]""",0.6931950449943542,0.4842686951160431,0.5068981051445007,0.5207182168960571,"""[0.684832]""",0.6931372284889221,0.5207182168960571,1.0
7,0.49042317271232605,"""[0.57824886]""",0.693189263343811,0.4935494065284729,0.6980418562889099,0.5207182168960571,"""[0.684832]""",0.6931384801864624,0.5207182168960571,1.0
8,0.49131402373313904,"""[0.59682256]""",0.6931934952735901,0.4945874810218811,0.7523364424705505,0.4792817533016205,"""[0.0]""",0.6931515336036682,0.0,0.0
9,0.4922049045562744,"""[0.52755904]""",0.6931807994842529,0.4936021566390991,0.5665331482887268,0.5207182168960571,"""[0.684832]""",0.6931420564651489,0.5207182168960571,1.0
