epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.821835458278656,"""[0.8338743]""",0.45745763182640076,0.8316656947135925,0.8360946774482727,0.8311731219291687,"""[0.8647497]""",0.6542456150054932,0.7656765580177307,0.9932721853256226
1,0.9471518993377686,"""[0.9505479]""",0.1507088840007782,0.9513930082321167,0.9497041702270508,0.7680292725563049,"""[0.82391524]""",0.9775190353393555,0.7011592984199524,0.9987767338752747
2,0.9639240503311157,"""[0.9661721]""",0.08996136486530304,0.9690476059913635,0.963313639163971,0.8198736906051636,"""[0.8577428]""",0.7084967494010925,0.7512643933296204,0.9993883967399597
3,0.9797468185424805,"""[0.9810763]""",0.05386957898736,0.9804964661598206,0.9816567897796631,0.9544699192047119,"""[0.9596703]""",0.14415264129638672,0.9250851273536682,0.9969419240951538
4,0.9895569682121277,"""[0.99022806]""",0.02524908445775509,0.9911084771156311,0.9893491268157959,0.9684280753135681,"""[0.9716671]""",0.09615035355091095,0.9481955766677856,0.9963302612304688
5,0.9933544397354126,"""[0.99378884]""",0.017586957663297653,0.993494987487793,0.9940828680992126,0.9916915893554688,"""[0.9923477]""",0.03660334646701813,0.9932597875595093,0.9914373159408569
6,0.9965189695358276,"""[0.9967446]""",0.012823205441236496,0.9970396757125854,0.9964497089385986,0.9906945824623108,"""[0.991453]""",0.034916844218969345,0.989640474319458,0.9932721853256226
7,0.9962025284767151,"""[0.9964455]""",0.01077243871986866,0.9976274967193604,0.9952662587165833,0.9900299310684204,"""[0.9908648]""",0.03480388969182968,0.9866585731506348,0.9951070547103882
8,0.9914556741714478,"""[0.9920095]""",0.024720272049307823,0.9923031330108643,0.9917159676551819,0.9840478301048279,"""[0.9854897]""",0.07239178568124771,0.9742976427078247,0.9969419240951538
9,0.994303822517395,"""[0.9946714]""",0.0171906016767025,0.9952606558799744,0.9940828680992126,0.9887005686759949,"""[0.9895191]""",0.041740838438272476,0.997514009475708,0.9816513657569885
10,0.9936708807945251,"""[0.99407583]""",0.017721960321068764,0.9952550530433655,0.9928994178771973,0.984712541103363,"""[0.9860437]""",0.0418548658490181,0.9783263206481934,0.9938837885856628
11,0.994303822517395,"""[0.9946714]""",0.014743642881512642,0.9952606558799744,0.9940828680992126,0.9960119724273682,"""[0.99633026]""",0.017179928719997406,0.9963302612304688,0.9963302612304688
12,0.9949367046356201,"""[0.9952635]""",0.016133097931742668,0.995853066444397,0.994674563407898,0.9890329241752625,"""[0.98999697]""",0.0410674549639225,0.981370210647583,0.9987767338752747
13,0.996835470199585,"""[0.99703795]""",0.009282441809773445,0.9982206225395203,0.9958580136299133,0.9853771924972534,"""[0.986707]""",0.05017189681529999,0.9749253988265991,0.9987767338752747
14,0.9974683523178101,"""[0.9976317]""",0.006045537069439888,0.9982227683067322,0.9970414042472839,0.9950149655342102,"""[0.9954086]""",0.025236638262867928,0.9963235259056091,0.9944953918457031
15,0.9965189695358276,"""[0.9967465]""",0.010598034597933292,0.9964517951011658,0.9970414042472839,0.9963443279266357,"""[0.9966432]""",0.01351726520806551,0.9945188760757446,0.9987767338752747
16,0.99556964635849,"""[0.995858]""",0.01544894091784954,0.9958580136299133,0.9958580136299133,0.9906945824623108,"""[0.99149966]""",0.03373239189386368,0.9843279123306274,0.9987767338752747
17,0.9974683523178101,"""[0.99763453]""",0.005594971124082804,0.9970449209213257,0.9982248544692993,0.9926885962486267,"""[0.99330497]""",0.0269636157900095,0.9884918332099915,0.9981651306152344
18,0.9971519112586975,"""[0.9973365]""",0.0092384684830904,0.9976317286491394,0.9970414042472839,0.9913592338562012,"""[0.99209726]""",0.047058187425136566,0.9861027002334595,0.9981651306152344
19,0.99556964635849,"""[0.9958555]""",0.016776084899902344,0.9964454770088196,0.9952662587165833,0.9760717749595642,"""[0.97755605]""",0.09729388356208801,0.9968213438987732,0.9590213894844055
20,0.9911392331123352,"""[0.99170613]""",0.02113000489771366,0.9928825497627258,0.9905325174331665,0.9863741993904114,"""[0.987572]""",0.03895684331655502,0.9789663553237915,0.9963302612304688
21,0.9949367046356201,"""[0.99526626]""",0.014231881126761436,0.9952662587165833,0.9952662587165833,0.9913592338562012,"""[0.99206346]""",0.030598018318414688,0.9902498722076416,0.9938837885856628
22,0.996835470199585,"""[0.99703616]""",0.008284620009362698,0.9988123774528503,0.9952662587165833,0.9960119724273682,"""[0.9963325]""",0.024522917345166206,0.9957239031791687,0.9969419240951538
23,0.9990506172180176,"""[0.99911165]""",0.00280898530036211,1.0,0.9982248544692993,0.9966766238212585,"""[0.9969437]""",0.025005022063851357,0.9963347315788269,0.9975535273551941
