epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7948775291442871,"""[0.7943278]""",0.5928281545639038,0.79717618227005,0.7914997935295105,0.8777624368667603,"""[0.8809684]""",0.3145407736301422,0.8935880064964294,0.8687002658843994
1,0.9471046924591064,"""[0.9469452]""",0.17144039273262024,0.9506615996360779,0.9432576894760132,0.8736187815666199,"""[0.8879363]""",0.3408362567424774,0.8248009085655212,0.9615384340286255
2,0.9631403088569641,"""[0.9630786]""",0.1297329217195511,0.9655557870864868,0.9606141448020935,0.939226508140564,"""[0.94054055]""",0.19045762717723846,0.9586777091026306,0.9230769276618958
3,0.9709354043006897,"""[0.97095805]""",0.10438448190689087,0.9710661172866821,0.9708500504493713,0.9447513818740845,"""[0.9462366]""",0.17480038106441498,0.9591280817985535,0.9336870312690735
4,0.9714922308921814,"""[0.97153664]""",0.09759226441383362,0.9708889126777649,0.9721851348876953,0.9399171471595764,"""[0.94368935]""",0.19405284523963928,0.9216182231903076,0.9668434858322144
5,0.9723830819129944,"""[0.97241384]""",0.09434416890144348,0.9721975326538086,0.9726302027702332,0.9406077265739441,"""[0.943421]""",0.19249200820922852,0.9360313415527344,0.9509283900260925
6,0.974387526512146,"""[0.9744103]""",0.08256997168064117,0.9744102954864502,0.9744102954864502,0.9433701634407043,"""[0.94451964]""",0.17475317418575287,0.9640883803367615,0.9257294535636902
7,0.9739421010017395,"""[0.9739827]""",0.07951807975769043,0.9733333587646484,0.9746328592300415,0.9171270728111267,"""[0.91935486]""",0.24064576625823975,0.9318801164627075,0.9071618318557739
8,0.975278377532959,"""[0.9753059]""",0.0751839354634285,0.9750889539718628,0.9755229353904724,0.9261049628257751,"""[0.9319771]""",0.22685867547988892,0.8949939012527466,0.9721485376358032
9,0.9770601391792297,"""[0.9770908]""",0.06639032065868378,0.9766563177108765,0.9775255918502808,0.9205800890922546,"""[0.92614]""",0.3162601888179779,0.8978829383850098,0.9562334418296814
10,0.9844098091125488,"""[0.9844652]""",0.044577620923519135,0.9818503856658936,0.9870939254760742,0.9385359287261963,"""[0.93982416]""",0.23419079184532166,0.9586206674575806,0.9217506647109985
11,0.9889755249023438,"""[0.9890183]""",0.031110815703868866,0.9860650300979614,0.9919893145561218,0.9316298365592957,"""[0.93288136]""",0.24940741062164307,0.9542302489280701,0.912466824054718
12,0.9913140535354614,"""[0.9913429]""",0.024691710248589516,0.9889282584190369,0.9937694668769836,0.9267956018447876,"""[0.9274966]""",0.2793545722961426,0.9576271176338196,0.8992042541503906
13,0.9926503300666809,"""[0.99267644]""",0.020624246448278427,0.9900398254394531,0.9953271150588989,0.9267956018447876,"""[0.9267956]""",0.3022744953632355,0.9668588042259216,0.8899204134941101
14,0.9944320917129517,"""[0.9944494]""",0.016971582546830177,0.9922463297843933,0.9966621994972229,0.9219613075256348,"""[0.9222299]""",0.31423643231391907,0.9585121870040894,0.8885941505432129
