epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5933544039726257,"""[0.6321213]""",0.6940768957138062,0.6123127937316895,0.6532544493675232,0.6723163723945618,"""[0.71420294]""",0.6265532374382019,0.678787887096405,0.7535167932510376
1,0.6563290953636169,"""[0.6928733]""",0.6308803558349609,0.6635969877243042,0.7248520851135254,0.7131937742233276,"""[0.7764828]""",0.5766063332557678,0.6734052300453186,0.9168195724487305
2,0.7509493827819824,"""[0.78337467]""",0.513188362121582,0.7323726415634155,0.8420118093490601,0.8165503740310669,"""[0.849345]""",0.5340299606323242,0.766880214214325,0.9516819715499878
3,0.8468354344367981,"""[0.8552632]""",0.3860195577144623,0.8645707368850708,0.8461538553237915,0.872715175151825,"""[0.8899109]""",0.3220835328102112,0.839479386806488,0.9467889666557312
4,0.8870252966880798,"""[0.8929535]""",0.2975510060787201,0.9051671624183655,0.8810650706291199,0.8218677043914795,"""[0.85879874]""",0.496703177690506,0.7542804479598999,0.9969419240951538
5,0.9202531576156616,"""[0.92508924]""",0.22667276859283447,0.9295101761817932,0.9207100868225098,0.953472912311554,"""[0.95684344]""",0.14579835534095764,0.9645742774009705,0.9492354989051819
6,0.9420886039733887,"""[0.9452914]""",0.17656108736991882,0.955286979675293,0.9355029463768005,0.9292123913764954,"""[0.938705]""",0.23428504168987274,0.886413037776947,0.9975535273551941
7,0.949999988079071,"""[0.95306003]""",0.13702943921089172,0.957040548324585,0.9491124153137207,0.9747424125671387,"""[0.97698367]""",0.07874017208814621,0.9676064848899841,0.9865443706512451
8,0.9696202278137207,"""[0.97149646]""",0.08643317967653275,0.9749702215194702,0.9680473208427429,0.9807245135307312,"""[0.98244554]""",0.0859600156545639,0.9724385738372803,0.9926605224609375
9,0.971202552318573,"""[0.972989]""",0.07965843379497528,0.9761763215065002,0.9698224663734436,0.9843801856040955,"""[0.98557836]""",0.050473786890506744,0.988916277885437,0.9822629690170288
10,0.9658227562904358,"""[0.96795255]""",0.10585789382457733,0.9708333611488342,0.9650887846946716,0.9577932953834534,"""[0.96243715]""",0.14161570370197296,0.9318442344665527,0.9951070547103882
11,0.9835442900657654,"""[0.98459715]""",0.05259018391370773,0.9857650995254517,0.9834319353103638,0.9807245135307312,"""[0.98249847]""",0.07484083622694016,0.9696247577667236,0.9957186579704285
12,0.9791139364242554,"""[0.98041546]""",0.057338908314704895,0.9833333492279053,0.9775148034095764,0.9637753367424011,"""[0.96766543]""",0.12427649646997452,0.9395161271095276,0.9975535273551941
13,0.9838607311248779,"""[0.98493356]""",0.04966762289404869,0.9834808111190796,0.9863905310630798,0.9910269379615784,"""[0.99174064]""",0.02833755686879158,0.9920440912246704,0.9914373159408569
14,0.9892405271530151,"""[0.98992896]""",0.030423980206251144,0.9911032319068909,0.9887573719024658,0.9850448369979858,"""[0.9863595]""",0.06921856850385666,0.9777644276618958,0.9951070547103882
15,0.9775316715240479,"""[0.97892547]""",0.07818286120891571,0.9821321964263916,0.9757396578788757,0.9272183179855347,"""[0.9371592]""",0.29330751299858093,0.8827027082443237,0.9987767338752747
16,0.9794303774833679,"""[0.9807407]""",0.059558380395174026,0.9821958541870117,0.9792899489402771,0.9930209517478943,"""[0.99357605]""",0.031236957758665085,0.993880033493042,0.9932721853256226
17,0.9882911443710327,"""[0.98906296]""",0.031723182648420334,0.9881866574287415,0.9899408221244812,0.9923562407493591,"""[0.99292964]""",0.02230145037174225,0.9981458783149719,0.9877675771713257
18,0.9879747033119202,"""[0.98873734]""",0.04379346966743469,0.9904988408088684,0.9869822263717651,0.9926885962486267,"""[0.9932722]""",0.025403441861271858,0.9932721853256226,0.9932721853256226
19,0.9870253205299377,"""[0.9878519]""",0.04028778523206711,0.9893175363540649,0.9863905310630798,0.971419095993042,"""[0.9743284]""",0.0908682718873024,0.9516034722328186,0.9981651306152344
20,0.9882911443710327,"""[0.9890565]""",0.04124046117067337,0.9887640476226807,0.9893491268157959,0.923895001411438,"""[0.9344027]""",0.318889319896698,0.8787715435028076,0.9975535273551941
