epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7654788494110107,"""[0.77257013]""",0.513672411441803,0.7505245208740234,0.795950174331665,0.7935082912445068,"""[0.78566307]""",0.4591124355792999,0.8549141883850098,0.7267904281616211
1,0.8298441171646118,"""[0.8308612]""",0.39222899079322815,0.8266519904136658,0.8351134657859802,0.863950252532959,"""[0.8668019]""",0.3378258943557739,0.8841379284858704,0.8501326441764832
2,0.890534520149231,"""[0.8897859]""",0.2809714376926422,0.8967231512069702,0.8829550743103027,0.9060773253440857,"""[0.9114584]""",0.20825301110744476,0.8951406478881836,0.9283819794654846
3,0.9230512380599976,"""[0.92166424]""",0.21386319398880005,0.9394499659538269,0.9045394062995911,0.8929557800292969,"""[0.9050827]""",0.2617349922657013,0.8407281041145325,0.9801061153411865
4,0.9321826100349426,"""[0.9309289]""",0.19736185669898987,0.9493407607078552,0.9132176041603088,0.9150552749633789,"""[0.923173]""",0.20024564862251282,0.8724911212921143,0.9801061153411865
5,0.9385300874710083,"""[0.9374858]""",0.18540896475315094,0.9545664191246033,0.9210057854652405,0.9102209806442261,"""[0.9186483]""",0.19826890528202057,0.8696682453155518,0.9734748005867004
6,0.942984402179718,"""[0.94214684]""",0.17780768871307373,0.9570707082748413,0.9276813268661499,0.9295580387115479,"""[0.935197]""",0.17108412086963654,0.8975609540939331,0.9761273264884949
7,0.9444320797920227,"""[0.943724]""",0.17861466109752655,0.9567802548408508,0.931019127368927,0.9267956018447876,"""[0.9328264]""",0.16921275854110718,0.893203854560852,0.9761273264884949
8,0.9481068849563599,"""[0.94738036]""",0.16799268126487732,0.9617148041725159,0.9334668517112732,0.9288673996925354,"""[0.93485135]""",0.16922220587730408,0.8935912847518921,0.9801061153411865
9,0.9472160339355469,"""[0.9466457]""",0.1660769283771515,0.9578587412834167,0.9356920123100281,0.9143646359443665,"""[0.9224031]""",0.1855388879776001,0.8732227683067322,0.9774535894393921
10,0.9497773051261902,"""[0.94916016]""",0.16079874336719513,0.9618459939956665,0.9368046522140503,0.919889509677887,"""[0.92713565]""",0.18420098721981049,0.8806682825088501,0.9787798523902893
11,0.9495545625686646,"""[0.94891167]""",0.15712176263332367,0.9620397686958313,0.9361370801925659,0.9288673996925354,"""[0.9347688]""",0.16942736506462097,0.8945454359054565,0.9787798523902893
12,0.9533407688140869,"""[0.9528524]""",0.1525697112083435,0.9638060331344604,0.9421451091766357,0.9281768202781677,"""[0.9341772]""",0.17465341091156006,0.8934624791145325,0.9787798523902893
13,0.9531180262565613,"""[0.9525741]""",0.15158690512180328,0.9646360874176025,0.940809965133667,0.905386745929718,"""[0.9151703]""",0.2111765444278717,0.8583043217658997,0.9801061153411865
14,0.9550111293792725,"""[0.9545455]""",0.14830636978149414,0.9654073715209961,0.9439252614974976,0.9046961069107056,"""[0.91470957]""",0.22029922902584076,0.8564814925193787,0.9814323782920837
15,0.9544543623924255,"""[0.95399845]""",0.14498867094516754,0.9645212888717651,0.9437026977539062,0.8977900743484497,"""[0.90909094]""",0.23204326629638672,0.8466818928718567,0.9814323782920837
16,0.9561247229576111,"""[0.95581967]""",0.14546677470207214,0.9633815288543701,0.9483755826950073,0.9330110549926758,"""[0.9383344]""",0.17281825840473175,0.901098906993866,0.9787798523902893
17,0.9564588069915771,"""[0.9561216]""",0.14318789541721344,0.9644554853439331,0.9479305744171143,0.9178176522254944,"""[0.92539185]""",0.19133742153644562,0.8775267601013184,0.9787798523902893
